List of markets for the selected product Product: 2711 Petroleum gases
"Partners"	"Balance in value in 2001"	"Balance in value in 2002"	"Balance in value in 2003"	"Balance in value in 2004"	"Balance in value in 2005"	"Balance in value in 2006"	"Balance in value in 2007"	"Balance in value in 2008"	"Balance in value in 2009"	"Balance in value in 2010"	"Balance in value in 2011"	"Balance in value in 2012"	"Balance in value in 2013"	"Exported value in 2013"	"Imported value in 2013"	
Cambodia	-5,429	-6,573	-8,326	-7,844	-9,031	-11,267	-14,958	-14,360	-17,862	-16,678	-16,365	-39,765	-11,930	0	11,930	
Togo	-556	-649	-611	-1,026	-1,414		-2,493	-3,880	-1,969	-4,001	-8,153	-10,771	-11,953	0	11,953	
Lesotho	-3,366	-5,622	-8,914					-18,914	-31,928	-37,528			-12,683	131	12,814	
Egypt	-182,937	-269,107	-253,307	-366,725	829,830	1,924,711	1,757,020	2,475,402	1,126,951	460,419	-25,447	-51,018	-13,783	1,559,696	1,573,479	
Belize	-5,173	-4,260	-5,614	-6,950	-8,558	-9,951	-11,744	-14,502	-8,727	-10,240	-12,514	-13,108	-13,909	0	13,909	
Denmark	16,708	19,596	18,155	14,381	16,642	37,574	45,409	41,731	37,851	-54,579	-324,429	-61,266	-14,216	0	14,216	
Uganda	-1,006	-1,018	-1,426	-1,919	-2,619	-6,429	-6,151	-6,605	-7,116	-8,844	-12,550	-12,967	-14,238	107	14,345	
Botswana	-16,095	-93,296	-23,217	-9,509	-18,678	-14,427	-17,072	-22,176	-31,245	-22,002	-17,830	-18,570	-14,709	82	14,791	
Ship stores and bunkers	-208	-13	-5,057	-448	-104	403,276	590,516	1,157,429	1,492,194	1,482,488	-2,199	-6,859	-15,085	0	15,085	
French Polynesia	-6,652	-5,031	-6,045	-7,127	-7,155	-8,598	-9,165	-13,325	-10,612	-10,399	-12,731	-14,116	-15,098	1	15,099	
Gabon	-5,126	-862	-2,607	-5,453	-6,245	-5,722	-12,644	-3,489	-13,769	-712	-9,818	-3,057	-15,674	134	15,808	
Montenegro						-10,787	-14,756	-20,730	-11,772	-16,998	-19,525	-17,572	-16,171	60	16,231	
Madagascar	-1,066	-1,517	-1,081	-3,327	-3,444	-5,314	-4,179	-6,854	-5,992	-5,068	-9,221	-10,749	-16,355	626	16,981	
Malta	-6,109	-4,977	-5,849	-6,206	-11,486	-10,934	-13,326	-19,488	-9,463	-9,318	-23,136	-26,790	-16,788	44	16,832	
Mongolia	-67		-174	-412	-1,170	-2,509	-3,701						-16,854	0	16,854	
Guyana	-5,035	-4,555	-4,382	-32	-8,280	-9,013	-9,942	-36,324	-20,564	-28,088	-17,426	-19,973	-17,939	0	17,939	
New Caledonia	-3,788	-3,773	-2,816	-4,401	-5,431	-6,156	-5,799	-9,436	-6,978	-7,580	-11,443	-13,234	-21,023	3	21,026	
Jamaica	-16,839	-16,141	-26,915	-28,755	-39,597	-39,461	-53,526	-60,351	-39,538	-54,968	-67,423	-69,577	-25,678	2	25,680	
Cameroon	-1,368	-3,786	-6,066	-4,307	-5,831	-14,541	-15,041	-24,268	-20,343	-34,328	-39,732	-59,243	-31,501	68	31,569	
Macao, China	-20,798	-19,263	-19,590	-20,837	-22,005	-27,513	-29,481	-58,593	-60,017	-36,088		-50,903	-31,570	0	31,570	
Bangladesh	-2,883	-4,331	-7,243	-8,185	-5,829	-7,704	-9,674	-17,454	-76,455	-21,493	-42,399	-48,770	-35,403	0	35,403	
Côte d'Ivoire	1,436	1,008	-487	-1,631	-2,773	-6,227	-9,720	-6,173	-25,015	-48,697	-72,323	-102,238	-35,605	1	35,606	
Syrian Arab Republic	-69,429	-32,399	-260	-35,013	-25,103	-127,030	-264,843	-322,619	-265,948	-339,508	49,600	-23,290	-37,721	0	37,721	
Sri Lanka	-40,676	-39,989	-48,969	-59,255	-72,444	-85,815	-107,778	-130,263	-73,158	-128,784	-171,282	-218,812	-42,611	3	42,614	
Cayman Islands		-34		-48,436	-62,491	-1,260	-2,157	-3,388	-12,070	-1,028	-13,119	-846	-46,082	0	46,082	
Cyprus	-6,694	-6,625	-11,005	-18,403	-21,103	-33,806	-37,322	-47,189	-31,503	-43,700	-55,635	-56,105	-50,342	3	50,345	
Mauritania	-6,525	-3,327	-6,153	-5,661	-8,919		-22,498	-26,553	-15,584	-25,342	-51,536	-47,815	-51,607	3	51,610	
Kyrgyzstan	-34,082	-42,662	-31,788	-34,302	-32,596	-43,674	-78,716	-110,677	-71,551	-62,633	-74,627	-84,915	-54,605	0	54,605	
Republic of Moldova	-101,258	-100,739	-102,631	-113,240	-134,015	-218,009	-256,781	-333,477	-325,251	-338,677	-66,497	-58,439	-57,933	8,435	66,368	
Maldives	-4,266	-5,427	-4,988	-11,062	-14,922	-19,760	-24,492	-34,799	-26,233	-34,371	-42,919	-49,737	-58,480	0	58,480	
Ghana	-20,169		249		-879	1,291	1,402	302	955	3,411	4,330,612	621,212	-60,893	6,512	67,405	
Nicaragua	-10,164	-10,507	-14,519	-18,156	-22,899	-23,789	-32,900	-41,000	-29,648	-42,935	-54,428	-2,988	-60,895	1,043	61,938	
Albania	-9,641	-11,607	-15,690	-20,804	-34,421	-39,975	-47,400	-70,176	-40,932	-60,905	-73,558	-70,769	-65,078	2,076	67,154	
Paraguay	-24,057	-17,746	-22,292	-28,925	-36,971	-44,306	-51,029	-69,235	-48,028	-66,465	-69,238	-52,397	-67,664	2,061	69,725	
Mauritius	-17,698	-17,470	-17,996	-21,846	-34,792	-37,624	-45,520	-63,791	-41,528	-52,932	-65,725	-74,294	-67,775	281	68,056	
Uruguay	-13,396	-14,768	-15,566	-7,321	-9,082	-24,705	-48,625	-47,816	-37,444	-71,599	-108,441	-73,322	-76,662	0	76,662	
Bahamas	-9,148	-7,301	-8,885	-10,697	-15,407	-16,765	-18,939	-24,525	-15,500	-18,200	-20,340	-20,323	-86,193	269	86,462	
Pakistan			-6,948	-20,328	-18,149	-24,846	-27,962	-15,841	-46,653	-54,095	-47,083	-54,682	-86,557	0	86,557	
Senegal	-39,557	-40,591	-44,211	-49,405	-67,935	-81,025	-85,454	-111,357	-70,384	-87,906	-102,606	-88,578	-96,366	1,546	97,912	
Costa Rica	-22,493	-21,432	-30,727	-41,008	-39,776	-57,984	-72,684	-78,170	-52,639	-71,689	-99,306	-100,462	-102,272	14	102,286	
Macedonia, The Former Yugoslav Republic of	-16,116	-16,542	-16,043	-18,436	-25,047	-36,530	-54,542		-51,077	-71,249	-96,292	-115,418	-105,013	5,108	110,121	
Tajikistan	-28	-64	-35	-227		-1,916	-6,442	-8,678	-7,971	-14,074	-52,986	-147,538	-119,449	0	119,449	
Mozambique	-5,605	-14,655	-6,766	26,654	90,599	102,512	90,972	-25,310	61,355	116,595	142,320	228,940	-124,907	445,408	570,315	
Tanzania, United Republic of	-1,274	-1,059	-3,440	-6,313	-3,025	-1,094	364	3,986	2,825	56,074	7,233	-74,673	-126,120	837	126,957	
Bosnia and Herzegovina			-32,907	-48,725	-103,835	-124,863	-133,190	-194,255	-125,105	-134,222	-187,897	-201,727	-157,684	388	158,072	
El Salvador	-45,161	-38,271	-49,122	-32,553	-129,275	-120,618	-134,582	-183,250	-123,323	-183,610	-187,994	-148,852	-171,256	472	171,728	
Lebanon	-43,650	-43,840	-54,244	-66,399	-74,440	-82,591	-101,004	-123,752	-102,134	-133,398	-175,544	-207,199	-188,413	37,683	226,096	
Finland	-516,072	-456,838	-662,387	-689,512	-808,405	-1,039,907	-1,096,934	-1,783,215	-1,242,329	-1,507,024	-1,743,751	-237,923	-198,670	45,298	243,968	
Nepal			-21,976						-98,156	-148,347	-202,303	-220,206	-210,567	9	210,576	
Guatemala	-67,657	-61,240	-84,027	-97,221	-138,782	-155,112	-171,036	-200,259	-120,472	-176,337	-217,818	-182,146	-222,108	75,288	297,396	
South Africa	14,529	7,973	9,627	8,423	11,272	9,067	-120,935	-174,119	-120,592	-151,712	-222,968	-232,490	-257,827	62,262	320,089	
Georgia	-47,398	-50,604	-62,497	-75,968	-89,996	-212,506	-293,868	-204,660	-151,931	-133,645	-236,633	-252,668	-300,908	0	300,908	
Gibraltar	-3,346	-4,958	-2,412	-1,303	-882	-1,696	-2,541	-9,867	-921	-25,536	-4,031	-106,416	-310,055	0	310,055	
Estonia	-46,920	-50,760	-70,347	-80,305	-100,795	-111,305	-233,358	-314,874	-226,178	-217,934	-254,770	-265,432	-321,750	4,904	326,654	
Viet Nam	-32,906	-54,085	-93,942	-149,065	-206,473	-268,848	-416,695	-539,233	-423,065	-534,365	-658,836	-609,803	-420,950	32,432	453,382	
Romania	-331,208	-389,838	-793,817	-741,695	-1,081,884	-1,655,909	-1,394,015	-1,894,262	-567,676	-713,658	-1,239,602	-1,182,870	-450,421	263,635	714,056	
Croatia	-87,218	-56,332	-77,714	-53,428	-65,460	2,089	11,968	-146,305	-74,621	-44,160	-176,467	-471,296	-463,451	294,014	757,465	
Jordan	-40,122	-44,853	-58,641	-150,805		-282,663	-381,847	-437,468	-540,019	-475,792	-354,283	-426,785	-464,318	1	464,319	
Slovenia	-176,373	-145,549	-191,797	-217,825	-291,883	-372,527	-403,683	-536,278	-416,692	-510,692	-569,852	-557,380	-472,270	47,551	519,821	
Israel	-15,844	-24,623	-40,631	-33,338	-79,652	-100,765	-162,332	-213,004	-347,568	-508,983	-345,518	-298,771	-528,623	3,478	532,101	
Armenia	-85,577	-63,720	-70,586	-77,913	-96,237	-159,657	-227,847	-248,676	-229,934	-325,083	-397,918	-507,785	-565,287	10,340	575,627	
Ecuador	-161,549	-157,519	-213,961	-278,066	-358,446	-483,567	-624,199	-666,609	-403,213	-575,357	-858,551	-644,451	-657,805	0	657,805	
Latvia	-109,255	-108,465	-151,391	-150,776	-176,766	-248,723	-325,156	-614,126	-511,256	-487,848	-562,515	-650,383	-682,397	72,744	755,141	
Philippines	-174,211	-171,307	-229,562	-281,887	-305,152	-347,277	-617,768	-627,318	-504,992	-502,677	-535,636	-671,956	-716,991	48,518	765,509	
Sweden	-246,877	-217,436	-230,983	-442,706	-461,759	-672,502	-844,715	-1,299,891	-654,239	-988,367	-1,307,153	-658,224	-857,095	316,674	1,173,769	
Dominican Republic	-141,264	385	686	-191	-373	-375	-528	-718	-504,380	-625,377	-796,067	-836,361	-884,547	1,626	886,173	
Serbia					-416,912	-661,229	-789,655	-1,151,886	-759,819	-937,744	-1,161,940	-1,077,749	-889,749	33,016	922,765	
Poland	-1,307,541	-1,160,204	-1,648,567	-2,077,682	-2,753,826	-1,126,504	-1,336,634	-1,606,961	-913,192	-1,236,884	-1,563,489	-1,443,322	-1,262,194	235,889	1,498,083	
Bulgaria	0	0	0	0	-138,229	-169,640	-911,117	-1,426,373	-866,194	-994,940	-1,293,796	-1,387,791	-1,265,699	17,241	1,282,940	
Tunisia	-125,860	-132,845	-181,819	-148,187	-264,656	-353,438	-448,946	-844,586	-486,921	-615,502	-791,105	-1,223,006	-1,268,153	43,861	1,312,014	
Lithuania	-151,357	-156,659	-193,901	-175,640	-188,180	-323,098	-671,668	-1,162,162	-759,951	-944,995	-1,402,586	-1,516,935	-1,269,353	123,024	1,392,377	
Hong Kong, China	-356,315	-382,842	-309,030	-388,232	-434,459	-569,353	-656,115	-881,386	-740,219	-1,144,574	-1,120,896	-1,231,100	-1,362,540	2,018	1,364,558	
Chile	-463,758	-422,073	-503,040	-625,368	-772,715	-834,480	-1,071,458	-1,245,089	-1,062,725	-1,712,410	-2,385,957	-2,248,273	-1,702,825	35,219	1,738,044	
Greece	-194,618	-199,033	-299,325	-353,143	-530,066	-830,944	-1,048,106	-1,761,720	-989,498	-1,121,096	-1,689,826	-1,887,417	-1,741,833	152,479	1,894,312	
Switzerland	-519,556	-502,533	-618,199	-730,104	-809,579	-1,135,666	-1,218,115	-1,518,193	-1,389,486	-1,296,789	-1,562,520	-1,892,845	-1,817,058	45,718	1,862,776	
Ireland	-298,356	-224,324	-237,738	-311,364	-563,819	-794,667	-1,413,162	-2,016,309	-1,253,875	-1,477,300	-1,829,663	-1,988,758	-2,068,966	24,708	2,093,674	
Portugal	-555,212	-531,954	-678,598	-842,151	-1,205,444	-1,332,926	-1,445,707	-1,766,132	-1,523,680	-1,596,302	-2,060,648	-1,993,009	-2,103,159	340,434	2,443,593	
Morocco	-231,636	-261,901	-365,599	-440,229	-652,723	-861,325	-1,171,363	-1,611,492	-1,266,856	-1,671,262	-1,995,439	-2,338,831	-2,296,576	0	2,296,576	
Turkey	-934,190	-967,651	-838,332	-909,482	-1,141,406	-1,484,315	-1,726,847	-2,090,989	-1,438,486	-2,211,631	-2,743,983	-2,629,814	-2,467,293	267,191	2,734,484	
