List of markets for the selected product Product: 1005 Maize (corn)
"Partners"	"Balance in value in 2001"	"Balance in value in 2002"	"Balance in value in 2003"	"Balance in value in 2004"	"Balance in value in 2005"	"Balance in value in 2006"	"Balance in value in 2007"	"Balance in value in 2008"	"Balance in value in 2009"	"Balance in value in 2010"	"Balance in value in 2011"	"Balance in value in 2012"	"Balance in value in 2013"	"Exported value in 2013"	"Imported value in 2013"	
Grenada	-269	-205	-119	-568	-183	-93	-268	-257	-781	-1825	-3415	-2463	-926	0	926	
Somalia	-189	-422	-1020	-1122	-522	-1610	-5153	-27452	-4153	-7462	-8748	-367	-965	0	965	
Finland	-304	-638	-369	-725	-251	-540	-1376	-1368	-262	-154	-209	-779	-966	0	966	
Mauritania	-18	-21	-120	-226	-53		-23	-76	-55	-152	-21	-100	-1158	0	1158	
French Polynesia	-1295	-1210	-1414	-1123	-1584	-1470	-1548	-2053	-1576	-1642	-1424	-1489	-1166	0	1166	
Ethiopia	-2055	517	-4954	-5936	313	-116	-1476	-14891	-3863	7052	11823	-1877	-1662	2	1664	
New Caledonia	-179	-305	-277	-241	-261	-296	-290	-996	-1210	-987	-2007	-1881	-1814	0	1814	
Turks and Caicos Islands	-66	-66	-80	-69							-107	-93	-1973	0	1973	
Saint Vincent and the Grenadines	-241	-474	-469	-638	-378	-18	-1248	-868	-909	-900	-1802	-2055	-2041	0	2041	
Suriname	-3164			-2748	-3680	-3940	-3452		-4073	-5410	-6791	-3517	-2234	17	2251	
Brunei Darussalam	-475	-439	-19	-17		-29				-1183	-2467	-1955	-2384	1	2385	
Côte d'Ivoire	261	-1211	-1774	-921	-7382	-1481	-1348	-3234	-8714	-5108	-2571	-6640	-2712	256	2968	
Madagascar	97	487	-2176	-471	-334	69	-687	72	-3556	-815	-1841	-1847	-2826	312	3138	
Burundi	-915	-1038	-8032	-2994	-2333	-74	-14255	-1437	-53	-721	-14507	-25963	-2891	0	2891	
Montenegro						-1770	-1990	-3057	-3666	-3450	-4413	-4094	-2894	0	2894	
Ghana	-1452		-46		-13746	-1430	1236	-21398	-8265	11073	-4296	-37761	-2967	261	3228	
Georgia	-29	-41	-54	79	-1457	-1357	715	-2403	-5384	-886	-10738	-1767	-4064	12582	16646	
Sri Lanka	-20128	-12598	-19978	-24843	-25095	-16302	-19467	-24302	-8569	-5038	-5017	-5928	-4491	341	4832	
Luxembourg	-1584	-2672	-3292	-5969	-3653	-3779	-3563	-5404	-3820	-3386	-4017	-3835	-4931	3910	8841	
Djibouti									-109	-434	-555	-1631	-5040	0	5040	
Qatar	-2410	-160	-1376	-786	-2064	-2488	-5243	-6694	-3730	-7001	-5219	-6991	-5211	0	5211	
