Date,Open,High,Low,Close,Volume,Adjusted Close
2012-04-23,759.88,759.88,751.34,756.21,0.0,756.21
2012-04-24,756.28,760.8,756.28,758.69,0.0,758.69
2012-04-25,763.22,769.68,763.22,769.37,0.0,769.37
2012-04-26,769.24,775.85,767.59,774.66,0.0,774.66
2012-04-27,776.13,778.52,773.07,776.78,0.0,776.78
2012-04-30,776.77,776.77,771.45,773.5,0.0,773.5
2012-05-01,773.32,783.26,772.43,777.76,0.0,777.76
2012-05-02,775.86,776.8,771.34,776.12,0.0,776.12
2012-05-03,776.24,776.26,767.86,769.44,0.0,769.44
2012-05-04,767.13,767.13,756.34,757.09,0.0,757.09
2012-05-07,755.72,759.76,754.37,757.45,0.0,757.45
2012-05-08,755.29,755.29,744.92,754.22,0.0,754.22
2012-05-09,753.66,754.25,742.67,749.39,0.0,749.39
2012-05-10,749.86,755.6,749.57,751.22,0.0,751.22
2012-05-11,749.48,755.66,746.15,749.02,0.0,749.02
2012-05-14,741.95,745.53,739.53,740.53,0.0,740.53
2012-05-15,740.77,744.17,735.02,736.3,0.0,736.3
2012-05-16,736.73,742.51,732.87,732.87,0.0,732.87
2012-05-17,732.92,733.69,720.78,720.78,0.0,720.78
2012-05-18,721.49,724.86,713.33,715.03,0.0,715.03
2012-05-21,715.02,727.37,715.02,727.18,0.0,727.18
2012-05-22,728.05,734.12,724.04,727.68,0.0,727.68
2012-05-23,725.85,730.08,716.47,729.14,0.0,729.14
2012-05-24,729.99,732.06,724.44,730.16,0.0,730.16
2012-05-25,730.23,732.0,726.75,728.72,0.0,728.72
2012-05-29,731.18,738.32,731.18,736.96,0.0,736.96
2012-05-30,734.45,734.45,724.61,725.89,0.0,725.89
2012-05-31,725.91,729.13,717.55,724.12,0.0,724.12
2012-06-01,720.66,720.66,705.4,705.81,0.0,705.81
2012-06-04,705.79,708.32,698.88,705.3,0.0,705.3
2012-06-05,704.01,711.05,703.09,710.01,0.0,710.01
2012-06-06,710.12,726.34,710.12,726.34,0.0,726.34
2012-06-07,728.82,734.23,724.64,725.79,0.0,725.79
2012-06-08,724.89,731.69,721.54,731.59,0.0,731.59
2012-06-11,733.98,737.04,721.12,721.78,0.0,721.78
2012-06-12,723.18,730.2,720.48,730.1,0.0,730.1
2012-06-13,728.6,731.59,722.12,724.48,0.0,724.48
2012-06-14,725.26,734.36,723.92,731.97,0.0,731.97
2012-06-15,732.25,739.7,732.25,739.46,0.0,739.46
2012-06-18,737.9,742.83,734.74,741.07,0.0,741.07
2012-06-19,742.59,751.43,742.59,748.48,0.0,748.48
2012-06-20,749.1,750.68,742.46,747.34,0.0,747.34
2012-06-21,747.32,748.62,729.8,730.35,0.0,730.35
2012-06-22,732.0,737.02,731.19,735.46,0.0,735.46
2012-06-25,735.38,735.38,721.0,723.53,0.0,723.53
2012-06-26,724.86,729.52,721.7,727.21,0.0,727.21
2012-06-27,728.34,734.94,728.34,733.56,0.0,733.56
2012-06-28,731.18,732.55,723.44,732.17,0.0,732.17
2012-06-29,736.68,750.62,736.68,750.61,0.0,750.61
2012-07-02,751.07,753.18,747.28,752.75,0.0,752.75
2012-07-03,752.47,758.28,751.99,757.89,0.0,757.89
2012-07-05,756.92,758.06,751.94,754.73,0.0,754.73
2012-07-06,754.49,754.49,743.75,747.39,0.0,747.39
2012-07-09,746.81,747.47,742.76,745.9,0.0,745.9
2012-07-10,747.88,750.91,736.7,739.59,0.0,739.59
2012-07-11,739.18,741.49,734.76,739.22,0.0,739.22
2012-07-12,736.96,738.54,730.16,735.74,0.0,735.74
2012-07-13,736.67,748.13,736.67,747.68,0.0,747.68
2012-07-16,746.76,747.8,742.92,745.75,0.0,745.75
2012-07-17,746.15,752.02,740.88,751.17,0.0,751.17
2012-07-18,749.69,757.54,748.54,756.05,0.0,756.05
2012-07-19,757.37,760.17,755.05,758.1,0.0,758.1
2012-07-20,757.28,757.28,750.16,750.38,0.0,750.38
2012-07-23,745.63,745.63,736.26,743.38,0.0,743.38
2012-07-24,743.5,743.9,731.58,736.4,0.0,736.4
2012-07-25,736.47,739.75,732.89,736.45,0.0,736.45
2012-07-26,740.57,749.89,736.43,748.25,0.0,748.25
2012-07-27,749.97,764.41,749.97,762.61,0.0,762.61
